"No.","Time","Source","Destination","Protocol","Length","Info"
"251","2022-09-28 13:07:50.024321","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=5140 Ack=220250 Win=262144 Len=0"
"252","2022-09-28 13:07:50.024364","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"253","2022-09-28 13:07:50.024368","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"254","2022-09-28 13:07:50.024400","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=5140 Ack=223022 Win=262144 Len=0"
"255","2022-09-28 13:07:50.025263","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","1372","Application Data"
"256","2022-09-28 13:07:50.025266","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"257","2022-09-28 13:07:50.025268","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"258","2022-09-28 13:07:50.025324","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=5140 Ack=227112 Win=262144 Len=0"
"259","2022-09-28 13:07:50.026483","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"260","2022-09-28 13:07:50.026485","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"261","2022-09-28 13:07:50.026486","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"262","2022-09-28 13:07:50.026488","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"263","2022-09-28 13:07:50.026489","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"264","2022-09-28 13:07:50.026490","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"265","2022-09-28 13:07:50.026491","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"266","2022-09-28 13:07:50.026493","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"267","2022-09-28 13:07:50.026494","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"268","2022-09-28 13:07:50.026495","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","1221","Application Data"
"269","2022-09-28 13:07:50.026497","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"270","2022-09-28 13:07:50.026498","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"271","2022-09-28 13:07:50.026712","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=5140 Ack=243525 Win=262144 Len=0"
"272","2022-09-28 13:07:50.026739","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"273","2022-09-28 13:07:50.026742","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"274","2022-09-28 13:07:50.026743","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"275","2022-09-28 13:07:50.026744","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"276","2022-09-28 13:07:50.026746","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"277","2022-09-28 13:07:50.026747","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"278","2022-09-28 13:07:50.026890","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=5140 Ack=251841 Win=262144 Len=0"
"279","2022-09-28 13:07:50.027669","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","1319","Application Data"
"280","2022-09-28 13:07:50.027706","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=5140 Ack=253106 Win=262144 Len=0"
"281","2022-09-28 13:07:50.030541","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"282","2022-09-28 13:07:50.031922","10.152.5.30","csweb1.cs.uchicago.edu","TLSv1.2","172","Application Data"
"283","2022-09-28 13:07:50.032122","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"284","2022-09-28 13:07:50.032125","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"285","2022-09-28 13:07:50.032126","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"286","2022-09-28 13:07:50.032128","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"287","2022-09-28 13:07:50.032129","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"288","2022-09-28 13:07:50.032130","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
